-- This file was modified from its original using excel.  the OTH column is the sum of columns C,E,F,G,H,K,L,O,P,V,W,N,U
-- We will use District, Precinct, AKI, DEM, REP, and OTH; OTH+AKI+DEM+REP should equal Voters in this file.
District,Precinct,Voters,AKI,DEM,REP,C,E,F,G,H,K,L,O,P,V,W,N,U,OTH
DISTRICT 01,01-446 AURORA,2801,103,373,637,1,0,0,5,0,0,28,0,1,11,1,379,1262,1698
DISTRICT 01,01-455 FAIRBANKS NO. 1,505,17,71,91,0,0,0,4,0,0,4,0,0,1,0,76,241,327
DISTRICT 01,01-465 FAIRBANKS NO. 2,1264,44,211,229,1,3,0,4,0,0,12,1,0,5,2,140,612,783
DISTRICT 01,01-470 FAIRBANKS NO. 3,1550,50,281,294,1,1,0,3,0,0,15,0,0,2,0,234,669,927
DISTRICT 01,01-475 FAIRBANKS NO. 4,808,39,132,147,1,0,0,2,0,0,9,0,0,2,0,94,382,492
DISTRICT 01,01-480 FAIRBANKS NO. 5,2235,64,327,505,3,2,0,3,0,0,24,1,0,6,2,285,1013,1343
DISTRICT 01,01-485 FAIRBANKS NO. 6,1675,65,266,311,0,1,0,7,0,0,21,1,0,5,0,164,834,1038
DISTRICT 01,01-490 FAIRBANKS NO. 7,2063,76,331,343,2,1,0,7,1,0,25,2,2,6,1,226,1040,1318
DISTRICT 01,01-495 FAIRBANKS NO. 10,898,26,133,213,2,0,0,1,0,0,4,1,1,2,0,103,412,528
DISTRICT 02,02-345 BADGER NO. 2,3225,106,239,969,4,4,0,2,0,0,39,1,0,11,0,367,1483,1922
DISTRICT 02,02-355 FAIRBANKS NO. 8,2207,79,325,466,2,1,0,8,1,0,21,3,0,4,1,305,991,1340
DISTRICT 02,02-365 FAIRBANKS NO. 9,3193,102,430,759,3,5,0,8,0,0,33,0,1,13,0,377,1462,1915
DISTRICT 02,02-375 FORT WAINWRIGHT,3256,76,387,1003,5,2,0,2,0,0,53,0,1,28,1,290,1408,1817
DISTRICT 03,03-130 BADGER NO. 1,3540,130,242,1108,7,2,0,5,2,0,34,0,1,14,1,405,1589,2073
DISTRICT 03,03-135 CHENA LAKES,2983,103,189,1053,3,2,0,1,0,0,37,0,0,6,0,311,1278,1644
DISTRICT 03,03-165 NEWBY,3480,108,229,1168,3,2,0,8,1,0,56,0,3,11,1,364,1526,1985
DISTRICT 03,03-175 NORTH POLE,1813,58,145,534,2,1,0,4,0,1,26,0,1,3,0,184,854,1079
DISTRICT 03,03-183 PLACK,3104,109,189,1051,3,1,0,5,0,0,50,0,2,14,1,340,1339,1768
DISTRICT 04,04-230 ESTER,1001,25,230,164,3,1,0,7,0,0,7,1,1,0,0,154,408,582
DISTRICT 04,04-240 FARMERS LOOP,2681,68,513,537,4,2,0,9,0,0,9,1,0,2,0,454,1082,1565
