"WHITE OAK" ,1-16-051-3,70,369,8,13,0,0,0,0,0,225,235,460,A102
"EUNICE PELLYTON" ,1-16-051-3,123,621,24,26,2,0,0,0,0,418,378,796,A104
"LITTLE CAKE" ,1-16-051-3,71,498,18,19,0,0,0,0,0,299,307,606,A105
"E. COLUMBIA" ,1-16-051-3,292,697,44,37,3,0,0,0,1,490,584,1074,B102
"OZARK" ,1-16-051-3,141,586,24,18,7,1,0,0,0,392,384,777,B104
"SOUTH COLUMBIA HARMONY" ,1-16-051-3,246,592,28,29,2,0,0,0,0,448,449,897,C102
"GLENSFORK MELSON RIDGE" ,1-16-051-3,240,730,26,31,1,1,0,0,0,481,548,1029,C104
"GRADYVILLE NELL" ,1-16-051-3,107,509,25,20,0,1,0,0,0,345,317,662,D101
"SPARKSVILLE BREEDING" ,1-16-051-3,142,492,37,33,3,0,1,0,0,360,348,708,D103
"SOUTH COLUMBIA NO. 2" ,1-16-051-3,224,468,24,19,4,0,1,0,0,325,415,740,D104
"MILLTOWN" ,1-16-051-3,156,624,25,18,3,0,0,0,0,401,424,826,E101
"WEST COLUMBIA" ,1-16-051-3,400,862,38,41,8,1,0,0,0,595,754,1350,E104
"CANE VALLEY HOLMES" ,1-16-051-3,353,849,39,35,2,0,0,1,0,652,627,1279,F101
"KNIFLEY ROLEY" ,1-16-051-3,210,539,23,30,1,0,1,0,0,405,399,804,F103
"NORTH COLUMBIA" ,1-16-051-3,260,732,30,19,4,1,1,0,0,501,546,1047,G101
"HURT" ,1-16-051-3,216,765,29,23,1,0,0,0,0,486,548,1034,G102
"ONE" ,1-09-022-1,509,970,114,44,2,0,0,0,1,723,917,1640,A101
"FOUR" ,1-09-022-1,356,872,62,23,3,0,1,0,1,644,674,1318,A102
"TWO" ,1-09-022-1,327,784,53,22,2,1,0,0,0,554,635,1189,B101
"FIVE" ,1-09-022-1,297,777,60,25,4,1,0,0,0,567,597,1164,B102
"NINE" ,1-09-022-1,161,364,36,10,0,0,0,0,0,282,289,571,B103
"THREE" ,1-09-022-1,523,1025,79,40,4,2,1,0,0,730,943,1674,C101
"SIX" ,1-09-022-1,442,1168,76,28,7,0,1,0,0,837,885,1722,C102
"SEVEN" ,1-09-022-1,461,1142,87,44,6,2,0,0,0,856,886,1742,D101
"EIGHT" ,1-09-022-1,203,436,42,9,3,0,1,0,0,347,347,694,D102
"THIRTEEN" ,1-09-022-1,371,844,81,33,4,0,0,0,1,674,660,1334,D103
"TEN" ,1-09-022-1,175,374,31,31,1,1,0,0,0,283,329,613,E101
