City/Town	Precinct	Party	Reg. Voters	% of Reg. Voters
Barrington	0101	Democrat	973	43%
Barrington	0101	Republican	343	15%
Barrington	0101	Unaffiliated	954	42%
Barrington	0102	Democrat	1,380	47%
Barrington	0102	Republican	384	13%
Barrington	0102	Unaffiliated	1,182	40%
Barrington	0103	Democrat	1,004	45%
Barrington	0103	Republican	345	15%
Barrington	0103	Unaffiliated	886	40%
Barrington	0104	Democrat	1,246	44%
Barrington	0104	Republican	413	15%
Barrington	0104	Unaffiliated	1,157	41%
Barrington	0105	Democrat	1,242	44%
Barrington	0105	Republican	415	15%
Barrington	0105	Unaffiliated	1,198	42%
Bristol	0201	Democrat	515	34%
Bristol	0201	Republican	252	16%
Bristol	0201	Unaffiliated	770	50%
Bristol	0202	Democrat	436	47%
Bristol	0202	Republican	115	12%
Bristol	0202	Unaffiliated	374	40%
Bristol	0203	Democrat	1,135	41%
Bristol	0203	Republican	404	15%
Bristol	0203	Unaffiliated	1,208	44%
Bristol	0204	Democrat	821	41%
Bristol	0204	Republican	256	13%
Bristol	0204	Unaffiliated	930	46%
Bristol	0205	Democrat	822	35%
Bristol	0205	Republican	328	14%
Bristol	0205	Unaffiliated	1,222	52%
Bristol	0206	Democrat	747	38%
Bristol	0206	Republican	232	12%
Bristol	0206	Unaffiliated	992	50%
Bristol	0207	Democrat	480	43%
Bristol	0207	Republican	137	12%
Bristol	0207	Unaffiliated	488	44%
Bristol	0208	Democrat	656	39%
Bristol	0208	Republican	212	13%
Bristol	0208	Unaffiliated	819	49%
Bristol	0209	Democrat	184	44%
Bristol	0209	Republican	42	10%
Bristol	0209	Unaffiliated	189	46%
Burrillville	0301	Democrat	599	29%
Burrillville	0301	Republican	461	23%
Burrillville	0301	Unaffiliated	977	48%
Burrillville	0302	Democrat	511	26%
Burrillville	0302	Republican	456	23%
Burrillville	0302	Unaffiliated	977	50%
Burrillville	0303	Democrat	703	28%
Burrillville	0303	Republican	536	21%
Burrillville	0303	Unaffiliated	1,266	51%
Burrillville	0304	Democrat	405	28%
Burrillville	0304	Republican	313	22%
Burrillville	0304	Unaffiliated	735	51%
Burrillville	0305	Democrat	448	26%
Burrillville	0305	Republican	359	20%
Burrillville	0305	Unaffiliated	948	54%
Burrillville	0306	Democrat	461	26%
Burrillville	0306	Republican	396	22%
Burrillville	0306	Unaffiliated	950	53%
Central Falls	0401	Democrat	828	58%
Central Falls	0401	Republican	95	7%
Central Falls	0401	Unaffiliated	499	35%
Central Falls	0402	Democrat	421	57%
Central Falls	0402	Republican	37	5%
Central Falls	0402	Unaffiliated	285	38%
Central Falls	0403	Democrat	819	60%
Central Falls	0403	Republican	98	7%
Central Falls	0403	Unaffiliated	452	33%
Central Falls	0404	Democrat	730	62%
Central Falls	0404	Republican	54	5%
Central Falls	0404	Unaffiliated	387	33%
Central Falls	0405	Democrat	345	65%
Central Falls	0405	Republican	41	8%
Central Falls	0405	Unaffiliated	145	27%
Central Falls	0406	Democrat	464	61%
Central Falls	0406	Republican	69	9%
Central Falls	0406	Unaffiliated	225	30%
Central Falls	0407	Democrat	198	57%
Central Falls	0407	Republican	20	6%
Central Falls	0407	Unaffiliated	131	38%
Central Falls	0408	Democrat	636	61%
Central Falls	0408	Republican	61	6%
Central Falls	0408	Unaffiliated	351	33%
Charlestown	0501	Democrat	607	34%
Charlestown	0501	Republican	335	19%
Charlestown	0501	Unaffiliated	865	48%
Charlestown	0502	Democrat	578	33%
Charlestown	0502	Republican	346	20%
Charlestown	0502	Unaffiliated	846	48%
Charlestown	0503	Democrat	526	33%
Charlestown	0503	Republican	368	23%
Charlestown	0503	Unaffiliated	696	44%
Charlestown	0504	Democrat	442	33%
Charlestown	0504	Republican	275	21%
Charlestown	0504	Unaffiliated	612	46%
Coventry	0601	Democrat	403	26%
Coventry	0601	Republican	299	19%
Coventry	0601	Unaffiliated	843	55%
Coventry	0602	Democrat	140	27%
Coventry	0602	Republican	103	20%
Coventry	0602	Unaffiliated	278	53%
Coventry	0603	Democrat	638	27%
Coventry	0603	Republican	435	18%
Coventry	0603	Unaffiliated	1,283	54%
Coventry	0604	Democrat	442	28%
Coventry	0604	Republican	256	16%
Coventry	0604	Unaffiliated	859	55%
Coventry	0605	Democrat	374	24%
Coventry	0605	Republican	278	18%
Coventry	0605	Unaffiliated	881	57%
Coventry	0606	Democrat	214	24%
Coventry	0606	Republican	180	20%
Coventry	0606	Unaffiliated	513	57%
Coventry	0607	Democrat	617	29%
Coventry	0607	Republican	449	21%
Coventry	0607	Unaffiliated	1,094	51%
Coventry	0608	Democrat	613	29%
Coventry	0608	Republican	412	19%
Coventry	0608	Unaffiliated	1,093	52%
Coventry	0609	Democrat	412	27%
Coventry	0609	Republican	294	19%
Coventry	0609	Unaffiliated	844	54%
Coventry	0610	Democrat	333	31%
Coventry	0610	Republican	172	16%
Coventry	0610	Unaffiliated	563	53%
Coventry	0611	Democrat	414	29%
Coventry	0611	Republican	285	20%
Coventry	0611	Unaffiliated	709	50%
Coventry	0612	Democrat	480	30%
Coventry	0612	Republican	256	16%
Coventry	0612	Unaffiliated	891	55%
Coventry	0613	Democrat	397	29%
Coventry	0613	Republican	272	20%
Coventry	0613	Unaffiliated	721	52%
Coventry	0614	Democrat	241	36%
Coventry	0614	Republican	132	20%
Coventry	0614	Unaffiliated	298	44%
Coventry	0615	Democrat	426	25%
Coventry	0615	Republican	336	20%
Coventry	0615	Unaffiliated	926	55%
Coventry	0616	Democrat	492	26%
Coventry	0616	Republican	353	19%
Coventry	0616	Unaffiliated	1,025	55%
Coventry	0617	Democrat	319	24%
Coventry	0617	Republican	315	23%
Coventry	0617	Unaffiliated	723	53%
Coventry	0618	Democrat	169	24%
Coventry	0618	Republican	172	24%
Coventry	0618	Unaffiliated	367	52%
Cranston	0701	Democrat	1,279	50%
Cranston	0701	Republican	306	12%
Cranston	0701	Unaffiliated	971	38%
Cranston	0702	Democrat	1,057	49%
Cranston	0702	Republican	241	11%
Cranston	0702	Unaffiliated	870	40%
Cranston	0703	Democrat	525	36%
Cranston	0703	Republican	233	16%
Cranston	0703	Unaffiliated	690	48%
Cranston	0704	Democrat	230	43%
Cranston	0704	Republican	65	12%
Cranston	0704	Unaffiliated	242	45%
Cranston	0705	Democrat	212	37%
Cranston	0705	Republican	85	15%
Cranston	0705	Unaffiliated	273	48%
Cranston	0706	Democrat	601	25%
Cranston	0706	Republican	540	22%
Cranston	0706	Unaffiliated	1,298	53%
Cranston	0707	Democrat	609	27%
Cranston	0707	Republican	486	21%
Cranston	0707	Unaffiliated	1,169	52%
Cranston	0708	Democrat	759	30%
Cranston	0708	Republican	456	18%
Cranston	0708	Unaffiliated	1,341	52%
Cranston	0709	Democrat	951	31%
Cranston	0709	Republican	533	17%
Cranston	0709	Unaffiliated	1,623	52%
Cranston	0710	Democrat	849	42%
Cranston	0710	Republican	304	15%
Cranston	0710	Unaffiliated	891	44%
Cranston	0711	Democrat	627	31%
Cranston	0711	Republican	391	19%
Cranston	0711	Unaffiliated	1,017	50%
Cranston	0712	Democrat	694	31%
Cranston	0712	Republican	400	18%
Cranston	0712	Unaffiliated	1,142	51%
Cranston	0713	Democrat	694	32%
Cranston	0713	Republican	379	18%
Cranston	0713	Unaffiliated	1,066	50%
Cranston	0714	Democrat	240	41%
Cranston	0714	Republican	75	13%
Cranston	0714	Unaffiliated	271	46%
Cranston	0715	Democrat	549	37%
Cranston	0715	Republican	240	16%
Cranston	0715	Unaffiliated	693	47%
Cranston	0716	Democrat	715	34%
Cranston	0716	Republican	337	16%
Cranston	0716	Unaffiliated	1,024	49%
Cranston	0717	Democrat	410	48%
Cranston	0717	Republican	113	13%
Cranston	0717	Unaffiliated	332	39%
Cranston	0718	Democrat	379	37%
Cranston	0718	Republican	185	18%
Cranston	0718	Unaffiliated	466	45%
Cranston	0719	Democrat	609	33%
Cranston	0719	Republican	302	16%
Cranston	0719	Unaffiliated	943	51%
Cranston	0720	Democrat	182	32%
Cranston	0720	Republican	114	20%
Cranston	0720	Unaffiliated	276	48%
Cranston	0721	Democrat	961	41%
Cranston	0721	Republican	301	13%
Cranston	0721	Unaffiliated	1,085	46%
Cranston	0722	Democrat	559	41%
Cranston	0722	Republican	197	15%
Cranston	0722	Unaffiliated	591	44%
Cranston	0723	Democrat	1,564	57%
Cranston	0723	Republican	242	9%
Cranston	0723	Unaffiliated	933	34%
Cranston	0724	Democrat	1,089	58%
Cranston	0724	Republican	175	9%
Cranston	0724	Unaffiliated	620	33%
